id,word,gloss,title,WordStatus
442,Asyncritus,"ASYN'CRITUS (incomparable), a Christian in Rome whom Paul saluted. Rom
   16:14.","",1
443,Atad,"A'TAD, THRESHING FLOOR OF. Gen 50:10, Rev 1:11. Its name was changed to
   Abel-mizraim, which see.","",1
444,Atarah ,"AT'ARAH (a crown), one of the wives of Jerahmeel. 1 Chr 2:26.","",1
445,Ataroth,"AT'AROTH (crowns). (1). A town of Gad, east of the Jordan, Num 32:3,
   Num 32:34, about 7 miles north-west of Dibon; now the ruin Attarus.

   (2). A town of Ephraim, Josh 16:2; perhaps the same as Ataroth-adar and
   Ataroth-addar. Josh 18:13. It may be the modern Atâra, 6 miles
   north-west of Bethel, though Conder suggests that it is identical with
   ruins discovered at ed-Dârieh.

   (3). In 1 Chr 2:54, Ataroth, the house of Joab, if a place, may refer
   to one in Judah, which Schwartz would identify with Latrum, between
   Jaffa and Jerusalem.","",1
446,Ataroth-addar,"AT'AROTH-AD'DAR (crowns of fame). See Ataroth, 2.","",1
447,Ater,"A'TER (shut up). (1). One whose children kept the temple-gate. Ezr
   2:42; Neh 7:45.

   (2). The ancestor of some who came back with Zerubbabel, and who signed
   the covenant. Ezr 2:16; Neh 7:21; Neh 10:17.","",1
448,Athach,"A'THACH (lodging-place), a town in the south of Judah; perhaps the same
   as Ether. Josh 19:7; 1 Sam 30:30.","",1
449,Athaiah,"ATHAI'AH (probably same as Asaiah, whom Jehovah, made), a descendant of
   Judah. Neh 11:4.","",1
450,Athaliah,"ATHALI'AH (afflicted by Jehovah), granddaughter of Omri, daughter of
   Ahab and Jezebel, wife of Jehoram, king of Judah, and mother of
   Ahaziah. 2 Kgs 11:1 ff. She introduced Baal-worship into Judah. Her
   character was extremely bad. She advised her own son in his wickedness,
   and after Jehu had slain him (see Ahaziah) she resolved to destroy the
   children of her husband by his former wives, and then take the throne
   of Judah, But Jehosheba, a half-sister of Ahaziah, secured Joash, one
   of the children and heir, and secreted him and his nurse for six years.
   In the seventh year, everything being prepared for the purpose, Joash,
   the young prince, was brought out and placed on the throne. Attracted
   by the crowd of people who had assembled to witness the ceremony, and
   unsuspicious of the cause, Athaliah hastened to the temple. When the
   populace had assembled, and when she saw the young king on the throne,
   and heard the shouts of the people, and found that all her ambitious
   designs were likely to be defeated, she rent her clothes and cried out,
   ""Treason! Treason!"" hoping probably to rally a party in favor of her
   interests. But she was too late. The priest commanded her to be removed
   from the temple, and she was taken without the walls of the city and
   put to death. 2 Kgs 11:16. See Jehoiada and Joash.

   (2). A Benjamite. 1 Chr 8:26.

   (3). One whose son, Jeshaiah, returned with Ezra in the second caravan
   from Babylon. Ezr 8:7.","",1
451,Athens,"ATH'ENS, the name of several places, but chiefly of the capital of
   Greece, the metropolis of ancient philosophy and art; named from the
   goddess Minerva or Athene. For sketch map see Corinth.

   Erechtheum. Parthenon. Turkish Tower.

   Modern City. Temple of Theseus. South-western part of Modern City.

     Athens. (After a sketch.)

   Situation. -- It was situated about 5 miles north-east of the Saronic
   Gulf, in the plain of Attica, the south-eastern portion of the Grecian
   peninsula, between the little rivers Cephissus and Ilissus. The port,
   Piraeus, is five miles off, and now connected with the city by a
   railroad. About the plain, on the northwest, the north-east, the
   south-east, and south-west, were four noted mounts. Within the city
   were four more noted hills -- the Acropolis, Areopagus or Mars' Hill,
   the Pnyx, and the Museum. The Acropolis is about 150 feet high, with a
   flat top about 1100 feet long by 450 feet wide, having a steep ascent
   on all sides. West of the Acropolis is Mars' Hill, of irregular form,
   and on which public assemblies and the chief courts were held. Upon
   this hill Paul preached. Acts 17:19, Josh 11:22. Beneath it are the
   Caves of the Furies.

   History. -- Athens was first settled by some chieftain, perhaps
   Cecrops, b.c. 1556, who is said to have been succeeded by sixteen
   legendary kings and twelve archons. Draco made laws for it, b.c. 624.
   Solon, its noted ''lawgiver,"" founded a democracy, b.c. 594. The city
   was taken by Xerxes, b.c. 480; but soon after his defeat it reached its
   highest prosperity, with a population of from 120,000 to 180,000. Under
   the brilliant rule of Pericles, b.c. 444 to 429, some of the greatest
   masters in philosophy, poetry, and oratory flourished, and noted
   buildings and temples, as that of Zeus, the Odeum, the Parthenon, the
   Propylaea, were projected or completed. His rule was followed by the
   Spartan, the Theban, and the Macedonian supremacy, the age of
   Demosthenes, Philip, and Alexander the Great. In b.c. 140, Athens with
   Achaia became a Roman province, and so continued through apostolic
   times. Since then it has been subject to the Byzantines, Franks,
   Venetians, and Turks, as well as at times independent. Under the
   misrule of the Turks it sunk down to a miserable village, and in 1832
   there was scarcely a house standing. But it arose with the new kingdom
   of Greece, and is now again a beautiful capital, adorned by new streets
   and buildings, prominent among which are the royal palace, the Greek
   cathedral, the Russian chapel, the University, the Library, and the
   Museum.

   At the time of Paul's visit Athens was a ""free city,"" under the Roman
   rule. It was given to idolatry, having 30,000 idols. Petronius said,
   ""It was easier to find a god in Athens than to find a man."" Paul calls
   them ""very religious,"" Acts 17:22, not ""too superstitious,"" as our
   version inaccurately reads. But Athens never took a prominent place in
   church history.","",1
452,Athlai,"ATH'LAI (whom Jehovah afflicts), one who had married a foreign wife.
   Ezr 10:28.","",1
453,Atonement,"ATONE'MENT. Literally, at-onement, or reconciliation; theologically,
   the satisfaction or propitiation brought about by the death of Christ
   as the ground of the accord or reconciliation between God and man. The
   word occurs often in the Old Testament, but only once in the New (Rom
   5:11, where the Greek means ""reconciliation,"" which is the result of
   the atoning death of Christ). The subject itself is presented in every
   variety of form both in the Gospels and in the Epistles. Rom 3-8 and
   Heb 7-10, inclusive.

   The great atonement made for sin by the sacrifice of Christ constitutes
   the grand substantial foundation of the Christian faith. The efficacy
   of it is such that the sinner, though by nature the child of wrath, by
   faith in Christ is brought into favor with God, is delivered from
   condemnation, and made an heir of eternal life and glory. The Hebrew
   word rendered ""atonement"" signifies ""covering,"" Ps 32:1, and the Greek
   version of this Hebrew word is translated ""propitiation"" in our Bible,
   and may denote either that our offences are covered or that we are
   protected from the curse, Christ being made a curse for us. Gal 3:13.
   Generally, wherever the term occurs, a state of controversy or
   estrangement is implied; and in relation to the party offended, it
   imports something done to propitiate. Gen 32:20; Eze 16:63. The idea of
   making an atonement is expressed by a word which signifies ""to make
   propitiation;"" and the apostles, in referring to the death of Christ,
   use those very terms which in the Septuagint version of the Old
   Testament are applied to legal sacrifices and their effect, thus
   representing the death of Christ not only as a real and proper
   sacrifice, but as the truth and substance of all the Levitical types
   and shadows -- the true, efficacious, and only atonement for sin, 1
   John 2:2 and 1 John 4:10; showing that Christ is not only the agent by
   whom the propitiation is made, but was himself the propitiatory
   sacrifice.","",1
454,Atonement,"ATONE'MENT, DAY OF. Lev 16; Lev 23:27-32. The only Jewish fast-day; the
   annual day of humiliation. It was kept five days before the Feast of
   Tabernacles, or on the tenth day of Tisri; i.e. in the early part of
   October. The fast lasted from sunset to sunset. It was kept as a solemn
   Sabbath. Once a year upon this day did the high priest alone enter the
   holy of holies. This was the preparation. It was ordained that he
   should bathe himself, and then dress in holy white linen. He was then
   to bring forward his sacrifices, which must be his purchases -- a young
   bullock for a sin-offering and a ram for a burnt-offering. These he
   offered for himself and family. Besides these, he brought forward two
   goats for a sin-offering and a ram for a burnt-offering. These, being
   for the benefit of the people, were paid for out of the public
   treasury. The two goats were then led up to the entrance of the
   tabernacle and lots cast upon them, one lot marked ""For Jehovah."" the
   other marked ""For Azazel"" The latter is a phrase of unusual difficulty.
   But the best modern scholars agree that it does not designate the goat,
   but the personal being to whom the goat was sent. See Goat, Scape. The
   high priest offered the bullock, carried live coals in a censer from
   the altar, with a handful of incense, into the holy of holies. There he
   sprinkled the blood with his finger upon the mercy-seat, eastward, and
   before it seven times. He then killed the goat ""for Jehovah"" and
   sprinkled its blood in the same manner. Over the goat ""for Azazel"" the
   sins of the people were confessed by the high priest, and then it was
   sent away by ""the hand of a fit man into the wilderness."" The ceremony
   was now over. Accordingly, the high priest again bathed, put on his
   usual garments, and offered the two rams.","",1
455,Atroth,"AT'ROTH (crowns), or ''Atroth-Shophan,"" as it should probably be read
   without the comma, ""Shophan"" being added to distinguish it from the
   ""Ataroth"" or ""Atroth"" in the former verse. It was a city of Gad, near
   Dibon. Num 32:35.","",1
456,Attai,"AT'TAI (opportune). (1). A descendant of Judah. 1 Chr 2:35, Eze 23:36.

   (2). A Gadite chief. 1 Chr 12:11.

   (3). A son of Rehoboam. 2 Chr 11:20.","",1
457,Attalia,"ATTALI'A, a seaport-town of Pamphylia, Acts 14:25, named from its
   founder, Attalus; later it was called Satalia, and now Adalia.","",1
458,Augustus,"AUGUS'TUS (venerable), Caius Julius Caesar Octavianus, b.c. 62-a.d. 14.
   The grand-nephew of Julius Caesar, and first emperor of Rome. It was he
   who gave the order for the enrolment which was the human occasion of
   the Bethlehemic birth of Christ. Luke 2:1. He was one of the second
   so-called triumvirate, with Mark Antony and Lepidus. After the removal
   of the latter he fought a battle with Antony at Actium, b.c. 31,
   defeating him. The senate saluted him as emperor, and in b.c. 27
   conferred on him the title of ""Augustus.""

     Coin of Augustus in Berlin.

   He comes into the New Testament in connection with Herod, whom he had
   reinstated in his kingdom and greatly honored, although Herod had
   espoused the cause of Antony. At Herod's death Augustus divided his
   kingdom in accordance

     Marble Statue of Augustus, found in 1863 at Prima Porta, near Rome.

   with his will, and even educated two of his sons, since their relations
   had been very intimate. He reigned forty-one years, and was succeeded
   by Tiberius Caesar. Luke 3:1. See Caesar","",1
459,Ava,"A'VA (ruin). Rawlinson would identify it with Hit, on the Euphrates;
   probably it is the same as Ahava and Ivah. 2 Kgs 17:24.","",1
460,Aven,"A'VEN (nothingness).

   (1). A plain, probably of Lebanon. Am 1:6.

   (2). Same as Beth-aven. Hos 10:5, 1 Kgs 15:8. See Baalbec.

   (3). The city of On or Heliopolis, in Egypt. Eze 30:17.","",1
461,Avenge,"AVENGE', AVEN'GER. Luke 18:8; 1 Thess 4:6. Vengeance is an act of
   justice; revenge is an act of passion. Hence injuries are revenged,
   crimes are avenged. God is avenged of his enemies when he vindicates
   his own law and government and character and punishes their
   transgressions. An avenger is the agent or instrument by whom the
   avengement is visited on the offending party.

   Avenger of Blood was a title given to one who pursued a murderer or
   man-slayer, by virtue of the ancient Jewish law, to avenge the blood of
   one who had been slain. He must be a near relative of the murdered man.
   Deut 19:6.","",1
462,Avim,"A'VIM (ruins), a city of Benjamin, Josh 18:23; probably near Bethel.","",1
463,Avith,"A'VITH (ruins), a city of Edom, Gen 36:35; 1 Chr 1:46; probably in the
   north-eastern part of Mount Seir.","",1
464,Azal,"A'ZAL. Zech 14:5. As the passage reads in the margin, Azal is not a
   proper name; but if a place at all, it was on or near Mount Olivet.","",1
465,Azaliah,"AZALI'AH (whom Jehovah reserved), the father of Shaphan the scribe. 2
   Kgs 22:3; 2 Chr 34:8.","",1
466,Azaniah,"AZANI'AH (whom Jehovah hears), the father of Jeshua the Levite, Neh
   10:9.","",1
467,Azarael,"AZAR'AEL (whom God helps), a Levite musician. Neh 12:36.","",1
468,Azareel,"AZAR'EEL (whom God helps).

   (1). A Korhite who ""came to David to Ziklag."" 1 Chr 12:6.

   (2). A Levite musician of David's time, 1 Chr 25:18; called Uzziel in
   v. Ex 6:4.

   (3). A prince of Dan. 1 Chr 27:22.

   (4). One who had married a foreign wife. Ezr 10:41.

   (5). A priest who lived in Jerusalem after the Return. Neh 11:13.

   AZARI'AH (whom Jehovah helps).

   (1). The grandson of Zadok, and the high priest during the reign of
   Solomon. 1 Kgs 4:2; 1 Chr 6:9.

   (2). A chief officer under Solomon. 1 Kgs 4:5.

   (3). A king of Judah, 2 Kgs 14:21; more generally called Uzziah, which
   see.

   (4). A son of Ethan. 1 Chr 2:8.

   (5). The son of Jehu, son of Obed. 1 Chr 2:38-39.

   (6). The son of Johanan, and high priest under Abijah and Asa. 1 Chr
   6:10-11.

   (7). In 1 Chr 6:13 the name is probably wrongly inserted.

   (8). A Kohathite, and ancestor of Samuel. 1 Chr 6:36.

   (9). A prophet who stirred up Asa to abolish idolatry. 2 Chr 15:1.

   (10, 11). Sons of Jehoshaphat the king. 2 Chr 21:2.

   (12). In 2 Chr 22:6 by copyist's error for Ahaziah.

   (13). A captain of Judah who helped Jehoiada. 2 Chr 23:1.

   (14). The high priest in the reign of Uzziah who resisted with eighty
   priests the king's attempt to perform priestly functions. 2 Kgs 14:21;
   2 Chr 26:17-20.

   (15). An Ephraimite chief in the reign of Ahaz. 2 Chr 28:12.

   (16, 17). Two Levites in the reign of Hezekiah. 2 Chr 29:12.

   (18). The high priest in the days of Hezekiah. 2 Chr 31:10, 2 Kgs
   11:13.

   (19). One who helped to repair the wall of Jerusalem. Neh 3:23-24.

   (20). A leader in the company of Zerubbabel. Neh 7:7.

   (21). A Levite who helped Ezra in the reading of the Law. Neh 8:7.

   (22). A priest who sealed the covenant, Neh 10:2, and ""probably the
   same with the Azariah who assisted in the dedication of the city wall.""
   Neh 12:33.

   (23). In Jer 43:2 instead of Jezaniah.

   (24). The Hebrew original name of Abed-nego.Dan 1:6, etc.","",1
469,Azaz,"A'ZAZ (strong), a Reubenite. 1 Chr 5:8.","",1
470,Azaziah,"AZAZI'AH (whom Jehovah strengthens).

   (1). A Levite musician in the reign of David. 1 Chr 15:21.

   (2). An Ephraimite chief. 1 Chr 27:20.

   (3). A Levite who had the oversight over the tithes and offerings in
   the reign of Hezekiah. 2 Chr 31:13.","",1
471,Azbuk,"AZ'BUK (strong devastation), father of Nehemiah (not the governor). Neh
   3:16.","",1
472,Azekah,"AZE'KAH. Josh 10:10-11; Josh 15:35. A city of Judah near Shocoh.
   Schwarz proposed Tell Zakariya, in the valley of Elah; Conder suggested
   Deir el-Soshek, 8 miles north of Shoeoh, also in the valley of Elah, as
   the site of Azekah.","",1
473,Azel,"A'ZEL (noble), a descendant of Saul. 1 Chr 8:37-38; 1 Chr 9:43-44.","",1
474,Azem,"A'ZEM (bone), a city in the south of Judah, Josh 16:29; afterward
   allotted to Simeon, Josh 19:3; the same as Ezem in 1 Chr 4:29.","",1
475,Azgad,"AZ'GAD (strong in fortune). (1). One whose descendants returned with
   Zerubbabel. Ezr 2:12; Ezr 8:12; Neh 7:17.

   (2). One who sealed the covenant. Neh 10:15.","",1
476,Aziel,"A'ZIEL (whom God consoles), a Levite porter; shortened form of Jaaziel.
   1 Chr 15:20.","",1
477,Aziza,"AZI'ZA (strong), one who had taken a foreign wife. Ezr 10:27.","",1
478,Azmaveth,"AZ'MAVETH, probably a place in Benjamin, Ezr 2:24; Neh 12:29; called
   also Beth-azmaveth, Neh 7:28; probably modern Hizmeh, north of
   Anathoth.","",1
479,Azmaveth,"AZ'MAVETH (strong unto death). (1). One of David's warriors, 2 Sam
   23:31; 1 Chr 11:33.

   (2). A descendant of Mephibosheth. 1 Chr 8:36; 1 Chr 9:42.

   (3). A Benjamite. 1 Chr 12:3.

   (4). David's treasurer. 1 Chr 27:25.","",1
480,Azmon,"AZ'MON (strong), a place in the south-western part of Palestine. Josh
   15:4; Robinson and Trumbull describe ""Kasaimeh"" or ""Qasaymeh,"" which is
   probably the site of Azmon.","",1
481,Aznoth-tabok,"AZ'NOTH-TA'BOK (ear, or summits, of Tabor), a place in Naphtali;
   probably the eastern slope of Mount Tabor. Josh 19:34.","",1
482,Azor,"A'ZOR (a helper), one of our Lord's ancestors. Matt 1:13-14.","",1
483,Azotus,AZO'TUS. Acts 8:40. Greek form of Ashdod. See Ashdod.,"",1
484,Azriel,"AZ'RIEL (whom God helps). (1). A man of renown, head of a house of
   Manasseh beyond Jordan. 1 Chr 5:24.

   (2). The father of a chief of Naphtali. 1 Chr 27:19.

   (3). The father of Seraiah. Jer 36:26.","",1
485,Azrikam,"AZ'RIKAM (help against the enemy). (1). One of David's posterity. 1 Chr
   3:23.

   (2). One of Saul's posterity. 1 Chr 8:38; 1 Chr 9:44.

   (3). A Levite. 1 Chr 9:14; Neh 11:15.

   (4). The prefect of the palace to King Ahaz, who was killed by Zichri.
   2 Chr 28:7.","",1
486,Azubah,"AZU'BAH (forsaken). (1). The mother of Jehoshaphat. 1 Kgs 22:42; 2 Chr
   20:31.

   (2). A wife of Caleb, son of Hezron. 1 Chr 2:18-19.

   A'ZUR (helper). (1). The father of Hananiah, the false prophet of
   Gibeon. Jer 28:1.

   (2). The father of one of the princes against whom Ezekiel prophesied.
   Eze 11:1.","",1
487,Azzah,"AZ'ZAH (the strong), same as Gaza, Deut 2:23; 1 Kgs 4:24; Jer 25:20.
   See Gaza.","",1
488,Azzan,"AZ'ZAN (very strong), a chief of Issachar. Num 34:26.","",1
489,Azzur,"AZ'ZUR (helper), one who sealed the covenant. Neh 10:17.","",1
490,Baal,"BA'AL, or BEL, or BE'LUS (lord, or master), different forms of the name
   of the supreme male divinity of the Phoenicians and Canaanites,as
   Ashtoreth was that of their supreme female divinity. 1 Kgs 18:21; Isa
   46:1; 1 Sam 12:10; 1 Kgs 11:33. That the divinities were derived from
   astrological fancies there is little doubt, but it is a question with
   what pair of the heavenly bodies we are to identify them. The common
   opinion is that they represent the sun and moon respectively, while
   other scholars say they are Jupiter and Venus. The license sanctioned
   -- indeed, demanded -- by their worship may have given it
   attractiveness. At all events, it spread among the Jews, being
   introduced into Israel by Jezebel and by her daughter into Judaea. Many
   and severe were the judgments required to eradicate it.

   Baal side of an Altar from a temple in Kunawat (Canatha), east of the
   Jordan.

   The frequent use of the word Baal in the plural form, Baalim, e.g. Jud
   2:11; Jud 10:10;1 Kgs 18:18; Jer 9:14; Hos 2:13, 2 Sam 21:17, proves
   probably that he was worshipped under his different modifications.
   Hence several compounds exist.
    1. Ba'al-be'rith (covenant lord), the form of Baal worshipped by the
       Shechemites after Gideon's death. Jud 8:33; Jud 9:4.
    2. Ba'al-pe'or (lord of the opening, an allusion to the character of
       the rites of worship), the form of Baal-worship in Moab and Midian
       shared in by the Israelites. Num 25:3, 1 Chr 6:5, 1 Sam 30:18; Deut
       4:3; Josh 22:17; Ps 106:28; Hos 9:10.
    3. Ba'al-ze'bub (lord of the fly), the form of Baal worshipped at
       Ekron. 2 Kgs 1:2-3, 1 Chr 24:6, Ex 17:16.

   Human victims were offered to Baal. Jer 19:5. Elevated places were
   selected for his worship, and his priests and prophets were very
   numerous. Sometimes the tops of the houses were devoted to this
   purpose. 2 Kgs 23:12; Jer 32:29. See High Places.

   The worship of Baal by the ancient Druids was probably general
   throughout the British Islands. One of the Druidic yearly festivals and
   deemed of special importance took place in the beginning of May, which
   was the first month of their year, and called Be'el-tin, or ""fire of
   God."" A large fire was kindled on some elevated spot in honor of the
   sun, whose returning beneficence they thus welcomed after the gloom of
   winter. Of this custom a trace remains in ""Beltin Day"" (or Whitsunday)
   in many of the Gaelic-speaking parts of Scotland. In the Lowlands the
   same name was retained till a comparatively recent date.

   House of Ba'al 1 Kgs 16:32. Is the same with the temple (or place of
   worship) of Baal. See particularly 2 Kgs 10:21-28.

   BA'AL (lord).
    1. A Reubenite. 1 Chr 5:5.
    2. A Benjamite, a relative of Saul. 1 Chr 8:30;1 Chr 9:36.

   BA'AL(lord, or master), a city of Simeon, 1 Chr 4:33; called also
   Bealoth, Baalath-Beer. Knobel and Wilton locate it at Kurnub; Conder at
   Umm Bagblek. ""Baal"" is also used as a prefix to the names of several
   places, given below.","",1
491,Baalah,"BA'ALAH (mistress).
    1. Another name for Kirjath-jearim, Josh 15:9-10, and for Baale of
       Judah, 2 Sam 6:2, and for Kirjath-Baal in Judah. Josh 15:60; Josh
       18:14. See Kirjath-jearim.
    2. A place in Judah, Josh 15:29, the same as Balah, Josh 19:3, and
       Bilhah, 1 Chr 4:29 now Dier-el-Belak, near Gaza,

    1. Ba'alah, Mount. Josh 16:11. Either the same as No. 1, or possibly a
       mountain in the north-western part of Judah.","",1
492,Baalath,"BA'ALATH, a town in Dan, Josh 19:44; probably the same that was
   fortified by Solomon. 1 Kgs 9:18; 2 Chr 8:6. Conder proposes to
   identify it with the ruin Bel'ain, in Wady Deir Ballat; Canon Cook
   suggests it may be near Mount Baalah, or modern Yebna.","",1
493,Baalath-beer,BA'ALATH-BE'ER (lord of the well). Josh 19:8. See Bealoth.,"",1
494,Baalbec,"BAALBEC' or BAALBEK (bul'bek), a magnificent city of Coele Syria, and
   called by the Greeks Heliopolis, or ""city of the Sun."" It is situated
   in a plain near the foot of the Anti-Libanus range, about 42 miles
   north-west of Damascus and 3800 feet above the level of the sea. Its
   origin and early history are unknown. It is now famous for its colossal
   ruins, consisting chiefly of two magnificent temples. The lesser of the
   two was 225 feet in length by 120 feet in breadth; it was surrounded by
   rows of immense columns, 45 feet high, standing about 9 feet from the
   temple walls, the distance between the columns being from 8 to 12 feet.
   Robinson counted 19 of these columns still in place in 1852. The larger
   temple, that of the Sun, was an immense structure, 324 feet long, and
   was surrounded by a peristyle of 54 vast Corinthian columns, about 7
   feet in diameter, and, including capital and pedestal, 89 feet high.
   Over these Corinthian capitals the temple was bordered with a frieze.
   The temples were constructed of limestone or marble and granite. Some
   of the stones used in them are 64 feet long and 12 feet thick. The
   temple of the Sun was built by Antoninus Pius, about a.d. 150.

   Baalbec has been identified by some

   Columns of Great Temple.

   Ruins of Baalbec.

   with Baal-gad, Josh 11:17; Acts 12:7; Josh 13:5; by others with Baalath
   or Baal-hamon, but these identifications are uncertain, and the last is
   very improbable.
","",1
495,Baale of judah,"BA'ALE OF JUDAH, a name of Kirjath-jenrim. See Baalah. 1.","",1
496,Baal-gad,"BA'AL-GAD (troop of Baal), the northern limit of Joshua's conquests,

   Temple of the Sun. (From Photographs.)

   Josh 11:17; Acts 12:7; Josh 13:5; probably the modern Banias
   (Caesarea-Philippi, Matt 16:13), though some suppose it to be the
   famous Baalbec.","",1
497,Baal-hamon,"BA'AL-HA'MON (multitude of Baal). Cant. 8:11. The place can only be
   conjectured; some identify it with Baalbec, others with Balamon, in the
   mountains of Ephraim, north of Samaria.","",1
498,Baal-hazor,"BA'AL-HA'ZOR (Baal's village), where Absalom killed Amnon. 2 Sam 13:23.","",1
499,Baal-hermon,"BA'AL-HER'MON, Jud 3:3; 1 Chr 5:23; one of the three peaks of Mt.
   Hermon, or perhaps Suheibeh.","",1
500,Baali,"BA'ALI (my lord) occurs in Hos 2:16, The verse retranslated reads:
   ""Thou shalt call me My husband, and shalt no more call me My Baal.""
   Baali is used in a twofold sense: first, My Baal, the name of the
   principal god of the Canaanites; and second, My lord, a usual name for
   husband. The idea of the verse is that so wholly devoted to Jehovah
   shall Israel be that she will not apply to him even a word which
   suggests the former idolatry.","",1
501,Baalim,"BA'ALIM, the plural form of Baal, which see.","",1
502,Baalis,"BA'ALIS (son of exaltation), a king of the Ammonites. Jer 40:14.","",1
503,Baal-meon,"BA'AL-ME'ON, a town built by the Reubenites, Num 32:38; 1 Chr 5:8; ""a
   glory"" of the Moabites, Eze 25:9; called also Beth-baal-meon, Josh
   13:17, Beth-meon, Jer 48:23, and perhaps Beon, Num 32:3; now called
   Ma'in, 9 miles south-west of Hashan, where extensive ruins are still
   found.","",1
504,Baal-perazim,"BA'AL-PER'AZIM (lord of defeats), a place in the valley of Rephaim, 2
   Sam 5:20; 1 Chr 14:11; same as Mount Perazim, near the valley of
   Gibeon. Isa 28:21.","",1
505,Baal-shalisha,"BA'AL-SHAL'ISHA. 2 Kgs 4:42. The English Survey proposed to identify it
   with Sirisia, 13 miles north of Lydda. Conder favors Kefr Thilth.","",1
506,Baal-tamar,"BA'AL-TA'MAR (lord of palm trees), a place near Gibeah, Jud 20:33;
   possibly the same as the palm tree of Deborah, Jud 4:5, and known later
   as Beth-tamar.","",1
507,Baal-zephon,"BA'AL-ZE'PHON. Ex 14:2; Num 33:7. A place near the head, or on the
   western shore, of the Gulf of Suez where the Israelites crossed the Red
   Sea. Dr. Ebers identifies it with Mount Atakah, near Suez; Dr. Brugsch,
   with less probability, proposes Mount Casius, on the Mediterranean, as
   the site of Baal-zephon. It was south of Migdol and west of Suez.","",1
508,Baana,"BA'ANA, or BA'ANAH (sun of affliction).
    1. One of the sons of Rimmon, and an officer in the army of
       Ishbosheth, Saul's son. In company with his brother Rechab, he
       entered the house of Ish-bosheth at noonday and stabbed him as he
       was lying upon the bed. Taking the head of their victim with them,
       they fled to David at Hebron, supposing that he would reward them
       liberally, but, so far from it, he, indignant at their cruel and
       cowardly conduct, caused them to be slain, their hands and feet to
       be cut off, and their bodies to be publicly suspended over the pool
       at Hebron. 2 Sam 4:2, 2 Sam 4:5-6,Gal 1:9.

   2, The father of one of David's warriors. 2 Sam 23:29; 1 Chr 11:30.

   3, 4. Two of Solomon's ofiicers for provision. 1 Kgs 4:12, Ex 17:16.
    1. One of Zerubbabel's company on the Return. Ezr 2:2; Neh 7:7.
    2. The father of a repairer of the wall of Jerusalem. Neh 3:4.
       Probably also mentioned in Neh 10:27 as sealing the covenant.","",1
509,Baara,"BA'ARA (brutish), a wife of Shaharaim. a Benjamite. 1 Chr 8:8.","",1
510,Baaseiah,"BAASE'IAH (work of Jehovah), a Gershouite Levite, and an ancestor of
   the psalmist Asaph. 1 Chr 6:40,","",1
511,Baasha,"BA'ASHA (valor), son of Ahijah, of the tribe of Issachar, third king of
   Israel, and founder of a dynasty, was probably of common birth, 1 Kgs
   16:2, but rose to the throne by his slaughter of Nadab, king of Israel,
   and all his family while the king was besieging Gibbethon, a city of
   the Philistines. 1 Kgs 15:27. By this cruel act he undesignedly
   fulfilled the prophecy respecting Jeroboam's posterity. 1 Kgs 14:10. He
   followed in the wicked ways of Jeroboam, and was visited with the most
   fearful judgments of God. The warning he received of the consequences
   of his conduct, 1 Kgs 16:1-5, did not induce him to forsake his evil
   courses. He attempted to fortify Ramah, but was stopped by the attack
   of Ben-hadad at Asa's prompting, 1 Kgs 15:16-21; 2 Chr 16:1-6. He
   reigned twenty-four years, b.c. 953-930. His reign was filled with war
   and treachery, and his family and relatives were cut off according to
   the prediction.1 Kgs 16:3-11. See Asa.","",1
512,Babel,"BA'BEL (confusion), a city founded by Nimrod","",1
