id,naves_id,phrase,addenda,naves_for_transfer
4438,1253,Ancient customs of,Suitor visited the maid,COURTSHIP
4439,1253,Ancient customs of,Women proposed marriage,COURTSHIP
4440,1254,Sacred,"",COVENANT
4441,1254,Binding,"",COVENANT
4442,1254,"Binding, not only on those who make them, but on those who are","",COVENANT
4443,1254,Blood of,"",COVENANT
4444,1254,Book of,"",COVENANT
4445,1254,The Mosaic law called a covenant,"",COVENANT
4446,1254,OF MEN WITH MEN,"Breach of, punished",COVENANT
4447,1254,OF MEN WITH MEN,By giving the hand,COVENANT
4448,1254,OF MEN WITH MEN,Loosing the shoe,COVENANT
4449,1254,OF MEN WITH MEN,Written and sealed,COVENANT
4450,1254,OF MEN WITH MEN,By giving presents,COVENANT
4451,1254,OF MEN WITH MEN,By making a feast,COVENANT
4452,1254,OF MEN WITH MEN,By a monument,COVENANT
4453,1254,OF MEN WITH MEN,By salting,COVENANT
4454,1254,OF MEN WITH MEN,By offering a sacrifice,COVENANT
4455,1254,INSTANCES OF,Abraham and Abimelech,COVENANT
4456,1254,INSTANCES OF,Abimelech and Isaac,COVENANT
4457,1254,INSTANCES OF,Jacob and Laban,COVENANT
4458,1254,INSTANCES OF,Jonathan and David,COVENANT
4459,1254,INSTANCES OF,"Jews with each other, to serve God",COVENANT
4460,1254,INSTANCES OF,King Zedekiah and his subjects,COVENANT
4461,1254,INSTANCES OF,Ahab with Benhadad,COVENANT
4462,1254,INSTANCES OF,Subjects with sovereign,COVENANT
4463,1254,OF GOD WITH MEN,Confirmed with an oath,COVENANT
4464,1254,OF GOD WITH MEN,Binding,COVENANT
4465,1254,OF GOD WITH MEN,Everlasting,COVENANT
4466,1254,OF GOD WITH MEN,God faithful to,COVENANT
4467,1254,OF GOD WITH MEN,Repudiated by God on account of Jews' idolatry,COVENANT
4468,1254,OF GOD WITH MEN,Broken by the Jews,COVENANT
4469,1254,OF GOD WITH MEN,Punishments for breaking of,COVENANT
4470,1254,INSTANCES OF,Of the sabbath,COVENANT
4471,1254,INSTANCES OF,Of the Ten Commandments,COVENANT
4472,1254,INSTANCES OF,With Adam,COVENANT
4473,1254,INSTANCES OF,Noah,COVENANT
4474,1254,INSTANCES OF,Abraham,COVENANT
4475,1254,INSTANCES OF,With Isaac,COVENANT
4476,1254,INSTANCES OF,Jacob,COVENANT
4477,1254,INSTANCES OF,With the Israelites to deliver them from Egypt,COVENANT
4478,1254,INSTANCES OF,With Phinehas,COVENANT
4479,1254,INSTANCES OF,"With Israel, at Horeb",COVENANT
4480,1254,INSTANCES OF,In Moab,COVENANT
4481,1254,INSTANCES OF,Of the Levites,COVENANT
4482,1254,INSTANCES OF,With David,COVENANT
4483,1254,INSTANCES OF,With David and his house,COVENANT
4484,1254,INSTANCES OF,With his people,COVENANT
4485,1254,INSTANCES OF,To be confirmed,COVENANT
4486,1254,THE SECOND COVENANT,"",COVENANT
4487,1254,OF MAN WITH GOD,Jacob,COVENANT
4488,1254,OF MAN WITH GOD,Joshua,COVENANT
4489,1254,OF MAN WITH GOD,Absalom,COVENANT
4490,1254,OF MAN WITH GOD,Jehoiada and Joash,COVENANT
4491,1254,OF MAN WITH GOD,Josiah,COVENANT
4492,1254,OF MAN WITH GOD,Asa,COVENANT
4493,1254,OF MAN WITH GOD,Nehemiah,COVENANT
4494,1254,OF MAN WITH GOD,Israelites,COVENANT
4495,1255,General scriptures concerning,"",COVETOUSNESS
4496,1255,INSTANCES OF,"Eve, in desiring the forbidden fruit",COVETOUSNESS
4497,1255,INSTANCES OF,"Lot, in choosing the plain of the Jordan",COVETOUSNESS
4498,1255,INSTANCES OF,In giving Rebekah to be Isaac's wife,COVETOUSNESS
4499,1255,INSTANCES OF,In deceiving Jacob when he served him seven years for,COVETOUSNESS
4500,1255,INSTANCES OF,In deceiving Jacob in wages,COVETOUSNESS
4501,1255,INSTANCES OF,"In defrauding Esau of his, father's blessing",COVETOUSNESS
4502,1255,INSTANCES OF,In defrauding Laban of his flocks and herds,COVETOUSNESS
4503,1255,INSTANCES OF,In buying Esau's birthright,COVETOUSNESS
4504,1255,INSTANCES OF,"Balaam, in loving the wages of unrighteousness",COVETOUSNESS
4505,1255,INSTANCES OF,"Achan, in hiding the treasure",COVETOUSNESS
4506,1255,INSTANCES OF,"Eli's sons, in taking the flesh of the sacrifice",COVETOUSNESS
4507,1255,INSTANCES OF,"Samuel's sons, in taking bribes",COVETOUSNESS
4508,1255,INSTANCES OF,"Saul, in sparing, Agag and the booty",COVETOUSNESS
4509,1255,INSTANCES OF,"David, of Bath-sheba",COVETOUSNESS
4510,1255,INSTANCES OF,"Ahab, in desiring Naboth's vineyard",COVETOUSNESS
4511,1255,INSTANCES OF,"Gehazi, in taking a gift from Naaman",COVETOUSNESS
4512,1255,INSTANCES OF,In exacting usury from their brethren,COVETOUSNESS
4513,1255,INSTANCES OF,In keeping back the portion of the Levites,COVETOUSNESS
4514,1255,INSTANCES OF,In building fine houses while the house of the Lord lay,COVETOUSNESS
4515,1255,INSTANCES OF,In following Jesus merely for the loaves and fish,COVETOUSNESS
4516,1255,INSTANCES OF,Money-changers in the temple,COVETOUSNESS
4517,1255,INSTANCES OF,The rich young ruler,COVETOUSNESS
4518,1255,INSTANCES OF,The rich fool,COVETOUSNESS
4519,1255,INSTANCES OF,"Judas, in betraying Jesus for twenty pieces of silver",COVETOUSNESS
4520,1255,INSTANCES OF,The unjust steward,COVETOUSNESS
4521,1255,INSTANCES OF,The Pharisees,COVETOUSNESS
4522,1255,INSTANCES OF,"Simon Magus, in trying to buy the gift of the Holy Spirit",COVETOUSNESS
4523,1255,INSTANCES OF,"The sorcerers, in filing complaint against Paul and Silas",COVETOUSNESS
4524,1255,INSTANCES OF,"Demetrius, in raising a riot against Paul and Silas",COVETOUSNESS
4525,1255,INSTANCES OF,"Festus, in hoping for a bribe from Paul",COVETOUSNESS
4526,1255,INSTANCES OF,Demas in forsaking Paul for love of the world,COVETOUSNESS
4527,1256,Used for pulling,"",COW
4528,1256,FIGURATIVE,"",COW
4529,1257,General scriptures concerning,"",COWARDICE
4530,1257,INSTANCES OF,"Adam, in attempting to shift responsibility for his sin upon",COWARDICE
4531,1257,INSTANCES OF,"Abraham, in calling his wife his sister",COWARDICE
4532,1257,INSTANCES OF,"Isaac, in calling his wife his sister",COWARDICE
4533,1257,INSTANCES OF,"Jacob, in flying from Laban",COWARDICE
4534,1257,INSTANCES OF,"Aaron, in yielding to the Israelites, when they demanded an",COWARDICE
4535,1257,INSTANCES OF,The ten spies,COWARDICE
4536,1257,INSTANCES OF,In fearing to attempt the conquest of Canaan,COWARDICE
4537,1257,INSTANCES OF,In the battle with the people of Ai,COWARDICE
4538,1257,INSTANCES OF,To meet Goliath,COWARDICE
4539,1257,INSTANCES OF,To fight with the Philistines,COWARDICE
4540,1257,INSTANCES OF,"20,000 Of Gideon's army",COWARDICE
4541,1257,INSTANCES OF,Ephraimites,COWARDICE
4542,1257,INSTANCES OF,Ephraimites and Manassehites,COWARDICE
4543,1257,INSTANCES OF,Amoritish kings,COWARDICE
4544,1257,INSTANCES OF,Canaanites,COWARDICE
4545,1257,INSTANCES OF,"Samuel, fearing to obey God's command to anoint a king in",COWARDICE
4546,1257,INSTANCES OF,"David, in fleeing from Absalom",COWARDICE
4547,1257,INSTANCES OF,"Nicodemus, in coming to Jesus by night",COWARDICE
4548,1257,INSTANCES OF,"Joseph of Arimathaea, secretly a disciple",COWARDICE
4549,1257,INSTANCES OF,"Parents of the blind man, who was restored to sight",COWARDICE
4550,1257,INSTANCES OF,Early converts among the rulers,COWARDICE
4551,1257,INSTANCES OF,During the storm at sea,COWARDICE
4552,1257,INSTANCES OF,When they saw Jesus walking on the sea,COWARDICE
4553,1257,INSTANCES OF,When Jesus was apprehended,COWARDICE
4554,1257,INSTANCES OF,"Peter, in denying the Lord",COWARDICE
4555,1257,INSTANCES OF,"Pilate, in condemning Jesus, through fear of the people",COWARDICE
4556,1257,INSTANCES OF,Guards of the sepulcher of Jesus,COWARDICE
4557,1257,INSTANCES OF,The Philippian jailer,COWARDICE
4558,1257,INSTANCES OF,"Peter and other Christians, at Antioch (of Syria)",COWARDICE
4559,1258,Father of Anub,"",COZ
4560,1259,Daughter of Zur,"",COZBI
4561,1260,"A biscuit or cake, hard-baked","",CRACKNEL
4562,1261,INSTANCES OF,"Satan, in the temptation of Eve",CRAFTINESS
4563,1261,INSTANCES OF,"Jacob, in purchase of Esau's birthright",CRAFTINESS
4564,1261,INSTANCES OF,Obtaining Isaac's blessing,CRAFTINESS
4565,1261,INSTANCES OF,In management of Laban's flocks and herds,CRAFTINESS
4566,1261,INSTANCES OF,"Gibeonites, in deceiving Joshua and the Israelites into a",CRAFTINESS
4567,1261,INSTANCES OF,"Sanballat, in trying to deceive Nehemiah into a conference",CRAFTINESS
4568,1261,INSTANCES OF,"Jews, in seeking to entangle the Master",CRAFTINESS
4569,1261,INSTANCES OF,In seeking to kill Jesus,CRAFTINESS
4570,1263,An amphibious bird,"",CRANE
4571,1264,Beginning of,"",CREATION
4572,1264,History of,"",CREATION
4573,1265,NEW CREATURE,"",CREATURE
4574,1266,LAWS CONCERNING,"",CREDITOR
4575,1266,OPPRESSIONS OF,"",CREDITOR
4576,1266,MERCIFUL,"",CREDITOR
4577,1268,A general term for animals,"",CREEPING THINGS
4578,1268,Unclean,"",CREEPING THINGS
4579,1268,Clean,"",CREEPING THINGS
4580,1268,"Uses of, in idolatrous worship","",CREEPING THINGS
4581,1269,General scriptures concerning,"",CREMATION
4582,1270,A disciple with Paul at Rome,"",CRESCENS
4583,1271,Visited by Paul,"",CRETE
4584,1271,Visited by Titus,"",CRETE
4585,1271,Character of the inhabitants of,"",CRETE
4586,1272,Used for grain,"",CRIB
4587,1273,PARTIAL LISTS OF,"",CRIME
4588,1274,Released at feasts,"",CRIMINALS
4589,1274,Confined in prisons,"",CRIMINALS
4590,1274,In dungeons,"",CRIMINALS
4591,1277,General scriptures concerning,"",CRISPING PINS
4592,1278,A leader of a synagogue at Corinth,"",CRISPUS
4593,1281,Jesus crucified on,"",CROSS
4594,1281,Carried by,Simon,CROSS
4595,1281,Carried by,Jesus,CROSS
4596,1281,FIGURATIVE,"",CROSS
4597,1282,General scriptures concerning,"",CROSS-QUESTIONING
4598,1283,Prescribed for priests,"",CROWN
4599,1283,Worn by kings,"",CROWN
4600,1283,By queens,"",CROWN
4601,1283,Made of gold,"",CROWN
4602,1283,Of victory,"",CROWN
4603,1283,An ornament,"",CROWN
4604,1283,Set with gems,"",CROWN
4605,1283,Of thorns,"",CROWN
4606,1283,FIGURATIVE,"",CROWN
4607,1283,SYMBOLICAL,"",CROWN
4608,1284,The reproach of,"",CRUCIFIXION
4609,1284,Of two criminals,"See JESUS, HISTORY OF",CRUCIFIXION
4610,1284,"Of disciples, foretold","",CRUCIFIXION
4611,1284,FIGURATIVE,"",CRUCIFIXION
4612,1285,INSTANCES OF,Of Sarah to Hagar,CRUELTY
4613,1285,INSTANCES OF,Egyptians to the Israelites,CRUELTY
4614,1285,INSTANCES OF,Peninnah to Hannah,CRUELTY
4615,1285,INSTANCES OF,Of Jews to Jesus,CRUELTY
4616,1285,INSTANCES OF,Soldiers to Jesus,CRUELTY
4617,1285,INSTANCES OF,In war,CRUELTY
4618,1286,A vessel for liquids,"",CRUSE
4619,1287,A precious stone,"",CRYSTAL
4620,1288,A measure of distance,"",CUBIT
4621,1288,Who can add to his height,"",CUBIT
4622,1289,Forbidden as food,"",CUCKOO
4623,1290,General scriptures concerning,"",CUCUMBER
4624,1291,"Chewing of, was one of the facts by which ceremonially clean","",CUD
4625,1292,A plant bearing a small aromatic seed,"",CUMMIN
4626,1293,General scriptures concerning,"",CUP
4627,1293,Made of silver,"",CUP
4628,1293,Made of gold,"",CUP
4629,1293,Used in the institution of the Lord's Supper,"",CUP
4630,1293,Of the table of demons,"",CUP
4631,1293,FIGURATIVE,Of sorrow,CUP
4632,1293,FIGURATIVE,Of consolation,CUP
4633,1293,FIGURATIVE,Of joy,CUP
4634,1293,FIGURATIVE,Of salvation,CUP
4635,1294,General scriptures concerning,"",CUPBEARER
4636,1297,General scriptures concerning,"",CURIOSITY
4637,1297,INSTANCES OF,Of Eve,CURIOSITY
4638,1297,INSTANCES OF,"Of Abraham, to know whether God would destroy the righteous",CURIOSITY
4639,1297,INSTANCES OF,"Of Jacob, to know the name of the angel",CURIOSITY
4640,1297,INSTANCES OF,To see God,CURIOSITY
4641,1297,INSTANCES OF,To witness the offering in the Holy of Holies,CURIOSITY
4642,1297,INSTANCES OF,"Of Manoah, to know the name of an angel",CURIOSITY
4643,1297,INSTANCES OF,"Of the people of Beth-shemish, to look inside the ark of the",CURIOSITY
4644,1297,INSTANCES OF,"Of the Babylonians, to see Hezekiah's treasures",CURIOSITY
4645,1297,INSTANCES OF,"Of Daniel, to know a vision",CURIOSITY
4646,1297,INSTANCES OF,To know what was being done with Jesus,CURIOSITY
4647,1297,INSTANCES OF,To know what John would be appointed to do,CURIOSITY
4648,1297,INSTANCES OF,"A disciple, to know if few would be saved",CURIOSITY
4649,1297,INSTANCES OF,"Of Herod (Antipas), to see Jesus",CURIOSITY
4650,1297,INSTANCES OF,"To see Lazarus, after he was raised from the dead",CURIOSITY
4651,1297,INSTANCES OF,And to see Jesus,CURIOSITY
4652,1297,INSTANCES OF,"Of the disciples, to know whether Jesus would restore the",CURIOSITY
4653,1297,INSTANCES OF,"Of the Athenians, to hear some new thing",CURIOSITY
4654,1297,INSTANCES OF,"Of angels, to look into the mysteries of salvation",CURIOSITY
4655,1298,Denounced,Against the serpent,CURSE
4656,1298,Denounced,Against Adam and Eve,CURSE
4657,1298,Denounced,Against the ground,CURSE
4658,1298,Denounced,Against Cain,CURSE
4659,1298,Denounced,"Against Canaan, Noah's son",CURSE
4660,1298,Denounced,Against Meroz,CURSE
4661,1298,Denounced,Against Gehazi,CURSE
4662,1298,Barak commands Balaam to curse Israel,"",CURSE
4663,1298,CURSES OF THE MOSAIC LAW,"",CURSE
4664,1299,Shimei curses David,"",CURSING
4665,1299,The precepts of Jesus concerning,"",CURSING
4666,1299,Apostolic,"",CURSING
4667,1300,For the tabernacle,"",CURTAINS
4668,1300,In the palace of Ahasuerus,"",CURTAINS
4669,1300,FIGURATIVE,"",CURTAINS
4670,1301,1. Son of Ham,"",CUSH
4671,1301,"2. A Benjamite, title of","",CUSH
4672,1301,3. Land of,"",CUSH
4673,1302,Poetic form of Cush,"",CUSHAN
4674,1303,"1. A messenger, who brought news to David","",CUSHI
4675,1303,2. Father of Shelemiah,"",CUSHI
4676,1303,3. Father of Zephaniah,"",CUSHI
4677,1304,"A district of Asia, from which colonists were transported to","",CUTH
4678,1305,(The flesh for the dead),Forbidden,CUTTING
4679,1306,Of brass (bronze),"",CYMBAL
4680,1306,Used in the tabernacle service,"",CYMBAL
4681,1306,Used in the temple service,"",CYMBAL
4682,1306,Used on special occasions,Day of atonement,CYMBAL
4683,1306,Used on special occasions,Laying of the foundation of the second temple,CYMBAL
4684,1306,Used on special occasions,Dedication of the wall,CYMBAL
4685,1307,General scriptures concerning,"",CYPRESS
4686,1307,(Margin),"",CYPRESS
4687,1307,(Margin R. V. Henna),"",CYPRESS
4688,1308,An island,"",CYPRUS
4689,1308,Barnabas born in,"",CYPRUS
4690,1308,Preaching the gospel at,"",CYPRUS
4691,1308,Visited by Barnabas and Saul,"",CYPRUS
4692,1308,Barnabas and Mark visit,"",CYPRUS
4693,1308,"Mnason, a disciple of","",CYPRUS
4694,1309,A city in Libya,"",CYRENE
4695,1309,Contained a synagogue,"",CYRENE
4696,1309,Simon and Lucius belonged to,"",CYRENE
4697,1310,Governor of Syria when Jesus was born,"",CYRENIUS (QUIRINIUS)
4698,1311,Issues a decree for the emancipation of the Jews and,"",CYRUS
4699,1311,Prophecies concerning,"",CYRUS
4700,1313,A place on the boundary line of the territory of the tribe of,"",DABBASHETH
4701,1314,A town of Issachar,"",DABERATH
4702,1314,Assigned to the Levites,"",DABERATH
4703,1315,A short sword,"",DAGGER
4704,1316,An idol of the Philistines,"",DAGON
4705,1316,Temple of,"",DAGON
4706,1317,Sacrificial,"",DAILY OFFERING
4707,1317,FIGURATIVE,"",DAILY OFFERING
4708,1319,A town on the west coast of the Sea of Galilee,"",DALMANUTHA
4709,1320,A country on the eastern shore of the Adriatic Sea,"",DALMATIA
4710,1321,Son of Haman,"",DALPHON
4711,1322,General scriptures concerning,"",DAMAGES AND COMPENSATION
4712,1323,A female convert of Athens,"",DAMARIS
4713,1324,An ancient city,"",DAMASCUS
4714,1324,Capital of Syria,"",DAMASCUS
4715,1324,Laid under tribute to David,"",DAMASCUS
4716,1324,Besieged by Rezon,"",DAMASCUS
4717,1324,Recovered by Jeroboam,"",DAMASCUS
4718,1324,Taken by king of Assyria,"",DAMASCUS
4719,1324,Walled,"",DAMASCUS
4720,1324,Garrisoned,"",DAMASCUS
4721,1324,Luxury in,"",DAMASCUS
4722,1324,Paul's experiences in,"",DAMASCUS
4723,1324,Prophecies concerning,"",DAMASCUS
4724,1324,Wilderness of,"",DAMASCUS
4725,1326,1. Fifth son of Jacob and Bilhah,"",DAN
4726,1326,1. Fifth son of Jacob and Bilhah,Descendants of,DAN
4727,1326,1. Fifth son of Jacob and Bilhah,Blessed of Jacob,DAN
4728,1326,2. TRIBE OF,Census of,DAN
4729,1326,2. TRIBE OF,"Inheritance of, according to the allotment of Joshua",DAN
4730,1326,2. TRIBE OF,Of Ezekiel,DAN
4731,1326,2. TRIBE OF,"Position of, in journey and camp, during the exodus",DAN
4732,1326,2. TRIBE OF,Blessed by Moses,DAN
4733,1326,2. TRIBE OF,Fail to conquer the Amorites,DAN
4734,1326,2. TRIBE OF,Conquests by,DAN
4735,1326,2. TRIBE OF,"Deborah rebukes, for their cowardice",DAN
4736,1326,2. TRIBE OF,Idolatry of,DAN
4737,1326,2. TRIBE OF,Commerce of,DAN
4738,1326,3. A city of the tribe of Dan,"Also called LAISH, and LESHEM",DAN
4739,1326,3. A city of the tribe of Dan,Captured by the people of Dan,DAN
4740,1326,3. A city of the tribe of Dan,Idolatry established at,DAN
4741,1326,3. A city of the tribe of Dan,Capture by Ben-hadad,DAN
4742,1327,General scriptures concerning,"",DANCING
4743,1327,Herodias dances in the presence of Herod (Antipas),"",DANCING
4744,1327,Idolatrous,"",DANCING
4745,1328,"1. A Jewish captive, also called BELTESHAZZAR",Educated at king's court,DANIEL
4746,1328,"1. A Jewish captive, also called BELTESHAZZAR",Interprets visions,DANIEL
4747,1328,"1. A Jewish captive, also called BELTESHAZZAR",Promotion and executive authority of,DANIEL
4748,1328,"1. A Jewish captive, also called BELTESHAZZAR","Conspiracy against, cast into the lions' den",DANIEL
4749,1328,"1. A Jewish captive, also called BELTESHAZZAR",Prophecies of,DANIEL
4750,1328,"1. A Jewish captive, also called BELTESHAZZAR",Abstinence of,DANIEL
4751,1328,"1. A Jewish captive, also called BELTESHAZZAR",Wisdom of,DANIEL
4752,1328,"1. A Jewish captive, also called BELTESHAZZAR",Devoutness of,DANIEL
4753,1328,"1. A Jewish captive, also called BELTESHAZZAR",Courage and fidelity of,DANIEL
4754,1328,"1. A Jewish captive, also called BELTESHAZZAR",Worshiped by Nebuchadnezzar,DANIEL
4755,1328,2. David's son,Also called CHILEAB,DANIEL
4756,1328,"3. A descendant of Ithamar, and a companion of Ezra","",DANIEL
4757,1329,A place near the source of the Jordan River,"",DAN-JAAN
4758,1330,A city in the mountains of Judah,"",DANNAH
4759,1332,A famous wise man,"",DARDA
4760,1333,"1. The Mede, king of Persia","",DARIUS
4761,1333,2. King of Persia,Emancipates the Jews,DARIUS
4762,1333,3. The Persian,"",DARIUS
4763,1334,Over the face of the earth,"",DARKNESS
4764,1334,Called NIGHT,"",DARKNESS
4765,1334,God creates,"",DARKNESS
4766,1334,Miraculous,In Egypt,DARKNESS
4767,1334,Miraculous,At Mount Sinai,DARKNESS
4768,1334,Miraculous,At the crucifixion,DARKNESS
4769,1334,FIGURATIVE,Of judgments,DARKNESS
4770,1334,FIGURATIVE,"""Outer darkness,""",DARKNESS
4771,1334,FIGURATIVE,"""Power of darkness,""",DARKNESS
4772,1334,FIGURATIVE,OF SPIRITUAL BLINDNESS,DARKNESS
4773,1334,FIGURATIVE,See also the following scriptures,DARKNESS
4774,1335,A servant of Solomon,"",DARKON
4775,1336,A light javelin,"",DART
4776,1336,FIGURATIVE,"",DART
4777,1337,"A fruit, (margin)","",DATE
4778,1338,A conspirator against Moses,"",DATHAN
4779,1339,Forbidden to be wife of her mother's husband,"",DAUGHTER
4780,1339,Sold in concubinage,"",DAUGHTER
4781,1339,Given in marriage by parents,"",DAUGHTER
4782,1339,Property rights of,"",DAUGHTER
4783,1339,Used also for granddaughter,"",DAUGHTER
4784,1340,FILIAL,"INSTANCE OF, Ruth",DAUGHTER-IN-LAW
4785,1340,UNFILIAL,Prophecy of,DAUGHTER-IN-LAW
4786,1341,1. King of Israel,Genealogy of,DAVID
4787,1341,1. King of Israel,A shepherd,DAVID
4788,1341,1. King of Israel,Kills a lion and a bear,DAVID
4789,1341,1. King of Israel,"Anointed king, while a youth, by the prophet Samuel, and",DAVID
4790,1341,1. King of Israel,Chosen of God,DAVID
4791,1341,1. King of Israel,Described to Saul,DAVID
4792,1341,1. King of Israel,Detailed as armor-bearer and musician at Saul's court,DAVID
4793,1341,1. King of Israel,Kills Goliath,DAVID
4794,1341,1. King of Israel,The love of Jonathan for,DAVID
4795,1341,1. King of Israel,Popularity and discreetness of,DAVID
4796,1341,1. King of Israel,Saul's jealousy of,DAVID
4797,1341,1. King of Israel,"Is defrauded of Merab, and given Michal to marry",DAVID
4798,1341,1. King of Israel,Jonathan intercedes for,DAVID
4799,1341,1. King of Israel,Probably writes Psalms Eleven at this period of his life,DAVID
4800,1341,1. King of Israel,"Conducts a campaign against, and defeats the Philistines",DAVID
4801,1341,1. King of Israel,"Saul attempts to kill him; he escapes to Ramah, and lives at",DAVID
4802,1341,1. King of Israel,About this time writes,DAVID
4803,1341,1. King of Israel,"Returns, and Jonathan makes covenant with him",DAVID
4804,1341,1. King of Israel,"Escapes by way of Nob, where he obtains shewbread and",DAVID
4805,1341,1. King of Israel,Escapes to Gath,DAVID
4806,1341,1. King of Israel,At this time probably writes,DAVID
4807,1341,1. King of Israel,"Recruits an army of insurgents, goes to Moab, returns to",DAVID
4808,1341,1. King of Israel,Probably writes,DAVID
4809,1341,1. King of Israel,Saves Keilah,DAVID
4810,1341,1. King of Israel,Makes second covenant with Jonathan,DAVID
4811,1341,1. King of Israel,"Goes to the wilderness of Ziph, is betrayed to Saul",DAVID
4812,1341,1. King of Israel,Writes a psalm on the betrayal,DAVID
4813,1341,1. King of Israel,And probably,DAVID
4814,1341,1. King of Israel,Saul is diverted from pursuit of,DAVID
4815,1341,1. King of Israel,At this time probably writes,DAVID
4816,1341,1. King of Israel,Goes to En-gedi,DAVID
4817,1341,1. King of Israel,Refrains from killing Saul,DAVID
4818,1341,1. King of Israel,Writes,DAVID
4819,1341,1. King of Israel,Covenants with Saul,DAVID
4820,1341,1. King of Israel,"Marries Nabal's widow, Abigail, and Ahinoam",DAVID
4821,1341,1. King of Israel,"Lives in the wilderness of Ziph, has opportunity to kill",DAVID
4822,1341,1. King of Israel,Flees to Achish and lives in Ziklag,DAVID
4823,1341,1. King of Israel,The list of men who join him,DAVID
4824,1341,1. King of Israel,"Conducts an expedition against Amalekites, misstates the",DAVID
4825,1341,1. King of Israel,At this time probably writes,DAVID
4826,1341,1. King of Israel,Is refused permission to accompany the Philistines to battle,DAVID
4827,1341,1. King of Israel,"Rescues the people of Ziklag, who had been captured by the",DAVID
4828,1341,1. King of Israel,Probably writes,DAVID
4829,1341,1. King of Israel,Death and burial of Saul and his sons,DAVID
4830,1341,1. King of Israel,Kills the murderer of Saul,DAVID
4831,1341,1. King of Israel,Lamentation over Saul,DAVID
4832,1341,1. King of Israel,After living for one year and four months at Ziklag,DAVID
4833,1341,1. King of Israel,"David goes to Hebron, and is anointed king by Judah",DAVID
4834,1341,1. King of Israel,The list of those who join him at Hebron,DAVID
4835,1341,1. King of Israel,"Ish-bosheth, son of Saul, crowned",DAVID
4836,1341,1. King of Israel,David wages war against and defeats Ish-bosheth,DAVID
4837,1341,1. King of Israel,"Demands the restoration of Michal, his wife",DAVID
4838,1341,1. King of Israel,"Abner revolts from Ish-bosheth, and joins David, but is",DAVID
4839,1341,1. King of Israel,Punishes Ish-bosheth's murderers,DAVID
4840,1341,1. King of Israel,"Anointed king over all Israel, after reigning over Judah at",DAVID
4841,1341,1. King of Israel,Makes conquest of Jerusalem,DAVID
4842,1341,1. King of Israel,Builds a palace,DAVID
4843,1341,1. King of Israel,"Friendship of, with Hiram, king of Tyre",DAVID
4844,1341,1. King of Israel,Prospered of God,DAVID
4845,1341,1. King of Israel,Fame of,DAVID
4846,1341,1. King of Israel,"Philistines make war against, and are defeated by him",DAVID
4847,1341,1. King of Israel,Assembles thirty-thousand men to escort the ark of the,DAVID
4848,1341,1. King of Israel,Uzzah is struck down when he attempts to steady the ark of,DAVID
4849,1341,1. King of Israel,"David is terrified, and leaves the ark at the house of",DAVID
4850,1341,1. King of Israel,"After three months, David brings the ark of the covenant to",DAVID
4851,1341,1. King of Israel,Organized the tabernacle service,DAVID
4852,1341,1. King of Israel,"Offers sacrifice, distributes gifts, and blesses the people",DAVID
4853,1341,1. King of Israel,Michal rebukes him for his religious enthusiasm,DAVID
4854,1341,1. King of Israel,"Desires to build a temple, is forbidden, but receives God's",DAVID
4855,1341,1. King of Israel,Interpretation and fulfillment of this prophecy,DAVID
4856,1341,1. King of Israel,"At this time, probably, David writes",DAVID
4857,1341,1. King of Israel,"Conquers the Philistines, Moabites, and Syria",DAVID
4858,1341,1. King of Israel,"Treats Mephibosheth, the lame son of Saul, with great",DAVID
4859,1341,1. King of Israel,"Sends commissioners with a message of sympathy to Hanun, son",DAVID
4860,1341,1. King of Israel,Probably writes,DAVID
4861,1341,1. King of Israel,Commits adultery with Bath-sheba,DAVID
4862,1341,1. King of Israel,Wickedly causes the death of Uriah,DAVID
4863,1341,1. King of Israel,Takes Bath-sheba to be his wife,DAVID
4864,1341,1. King of Israel,Is rebuked by the prophet Nathan,DAVID
4865,1341,1. King of Israel,Repents of his crime and confesses his guilt,DAVID
4866,1341,1. King of Israel,Is chastised with grievous affliction on account of his,DAVID
4867,1341,1. King of Israel,Death of his infant son (born from Bath-sheba),DAVID
4868,1341,1. King of Israel,Solomon is born to,DAVID
4869,1341,1. King of Israel,Ammonites defeated and tortured,DAVID
4870,1341,1. King of Israel,"Amnon's crime, his murder by Absalom, and Absalom's flight",DAVID
4871,1341,1. King of Israel,Absalom's return,DAVID
4872,1341,1. King of Israel,Absalom's usurpation,DAVID
4873,1341,1. King of Israel,David's flight from Jerusalem,DAVID
4874,1341,1. King of Israel,"He probably writes, at this time",DAVID
4875,1341,1. King of Israel,Shimei curses him,DAVID
4876,1341,1. King of Israel,Crosses the Jordan River,DAVID
4877,1341,1. King of Israel,Absalom's defeat and death,DAVID
4878,1341,1. King of Israel,Laments the death of Absalom,DAVID
4879,1341,1. King of Israel,Rebuked by Joab,DAVID
4880,1341,1. King of Israel,David rebukes the priests for not showing loyalty amid the,DAVID
4881,1341,1. King of Israel,Shimei begs for clemency,DAVID
4882,1341,1. King of Israel,Mephibosheth begs for the king's favor,DAVID
4883,1341,1. King of Israel,Barzillai rewarded,DAVID
4884,1341,1. King of Israel,Judah accused by the ten tribes of stealing him away,DAVID
4885,1341,1. King of Israel,Returns to Jerusalem,DAVID
4886,1341,1. King of Israel,"At this time, probably, David composes",DAVID
4887,1341,1. King of Israel,"Sheba's conspiracy against David, and his death",DAVID
